id;start_date;end_date;language
1;2019-09-26T18:52:08;2019-09-26T12:00:25;ENGLISH
2;2019-09-26T20:22:14;2019-09-26T05:28:24;SPANISH
3;2019-09-26T15:54:18;2019-09-26T07:18:18;FRENCH
4;2019-09-26T05:06:09;2019-09-26T12:33:11;SPANISH
5;2019-09-26T14:04:48;2019-09-26T18:48:57;ENGLISH
6;2019-09-26T20:21:49;2019-09-26T21:38:45;FRENCH
7;2019-09-26T05:44:09;2019-09-26T18:24:56;FRENCH
8;2019-09-26T03:15:28;2019-09-26T11:15:37;FRENCH
9;2019-09-26T13:03:34;2019-09-26T21:28:12;ENGLISH
10;2019-09-26T16:21:43;2019-09-26T13:37:58;SPANISH
